ensembl_id,disease_efo_id,association_score
ENSG00000139193,EFO_0003914,0.030632844885654233
ENSG00000077782,MONDO_0010463,0.04905435464046632
ENSG00000239672,EFO_0005772,0.006732397413430271
ENSG00000134852,MONDO_0005147,0.009892058759549105
ENSG00000081052,MONDO_0007700,0.03043084744747816
ENSG00000081052,EFO_0001063,0.004255286304061271
ENSG00000074416,EFO_0007231,0.0014800995840213117
ENSG00000005022,OBA_2050096,0.17020426525416923
ENSG00000019991,EFO_1000233,0.2775186720039959
ENSG00000171860,EFO_1000796,0.012950871360186474
ENSG00000080166,EFO_0009589,0.11319802605784626
ENSG00000165092,EFO_0000339,0.011377237705230485
ENSG00000206530,MONDO_0005148,0.3152123326383374
ENSG00000113580,EFO_1001857,0.30564056410040086
ENSG00000276043,EFO_0000401,0.010484244289537622
ENSG00000074416,EFO_0000676,0.008907094081621183
ENSG00000188229,EFO_0003095,0.030321484533769927
ENSG00000112115,EFO_0005225,0.015251591270752322
ENSG00000172482,MONDO_0011456,0.04169440528188035
ENSG00000116014,MONDO_0003916,0.004440298752063934
ENSG00000085117,MONDO_0015701,0.035596394995712544
ENSG00000177272,MONDO_0004580,0.007400497920106558
ENSG00000139193,EFO_0000313,0.010142382399506038
ENSG00000197838,MONDO_0016107,0.008880597504127868
ENSG00000163221,EFO_0007141,0.0046536797754270064
ENSG00000017427,MONDO_0100574,0.007400497920106558
ENSG00000165092,EFO_0000432,0.07883858153821906
ENSG00000029559,OBA_2041840,0.22380582886701492
ENSG00000170558,MONDO_0008233,0.0033302240640479507
ENSG00000132671,EFO_0006352,0.0014800995840213117
ENSG00000165916,EFO_0004528,0.12420559798357088
ENSG00000160200,EFO_1000044,0.011840796672170494
ENSG00000070915,MONDO_0003825,0.009885123474210524
ENSG00000186951,EFO_1001034,0.005141277774726545
ENSG00000085117,EFO_0000232,0.011717455040168717
ENSG00000173175,HP_0002135,0.03321343466543823
ENSG00000198001,EFO_0004239,0.020721394176298362
ENSG00000120885,EFO_1000652,0.0014800995840213117
ENSG00000181092,Orphanet_597,0.031733335081416916
ENSG00000053918,MONDO_0012209,0.0312671037124502
ENSG00000110801,EFO_0008527,0.004810323648069262
ENSG00000053918,MONDO_0012450,0.03424950437425315
ENSG00000107968,MONDO_0013284,0.041457589348436935
ENSG00000187098,Orphanet_79478,0.10981585270799968
ENSG00000197405,MONDO_0013427,0.03448632030769656
ENSG00000065559,EFO_0000313,0.0268854019080696
ENSG00000276043,EFO_0022236,0.1255801122570128
ENSG00000124767,EFO_0000677,0.0014800995840213117
ENSG00000165092,EFO_0003756,0.007400497920106558
ENSG00000133895,EFO_1000359,0.39435505454508873
ENSG00000197405,OBA_2045223,0.06863913700858051
ENSG00000165731,EFO_1001951,0.13868727066610192
ENSG00000159899,MONDO_0009619,0.032243969437904266
ENSG00000112115,EFO_1001904,0.004070273856058606
ENSG00000113580,EFO_1001942,0.07465252276907489
ENSG00000112115,MONDO_0024280,0.02733312235975356
ENSG00000110944,MONDO_0011661,0.002220149376031967
ENSG00000160200,EFO_0003767,0.0020145799893623406
ENSG00000181929,Orphanet_79311,0.032606593835989496
ENSG00000181019,HP_0001732,0.006660448128095901
ENSG00000152086,EFO_0000712,0.3237717840046619
ENSG00000069956,EFO_0007834,0.010502835733150412
ENSG00000026103,MONDO_0001999,0.007770522816111886
ENSG00000165731,EFO_1001517,0.004070273856058606
ENSG00000196839,EFO_0003894,0.02073434504765855
ENSG00000164588,EFO_0009594,0.2445352986439238
ENSG00000114013,EFO_1002050,0.0027751867200399593
ENSG00000116014,MONDO_0014439,0.034841544207861674
ENSG00000164588,Orphanet_1368,0.031163496741568715
ENSG00000173175,OBA_VT0000047,0.29916426526790313
ENSG00000017427,MONDO_0007540,0.010545709536151847
ENSG00000112115,EFO_1001326,0.0029601991680426234
ENSG00000112115,EFO_0005246,0.004440298752063934
ENSG00000165731,EFO_1000229,0.2775186720039959
ENSG00000196839,MONDO_0021512,0.007400497920106558
ENSG00000132671,EFO_0000556,0.0034157758840862836
ENSG00000174748,OBA_VT0000217,0.04796971306651024
ENSG00000196839,MONDO_0002331,0.002220149376031967
ENSG00000026103,Orphanet_101075,0.0014800995840213117
ENSG00000017427,EFO_1001836,0.002220149376031967
ENSG00000144908,MONDO_0011414,0.0428858854470175
ENSG00000116014,MONDO_0030531,0.047136649224572044
ENSG00000171860,EFO_0003882,0.009620647296138525
ENSG00000118046,MONDO_0018604,0.03322083516335834
ENSG00000163221,EFO_0000734,0.002590174272037295
ENSG00000169710,EFO_0005547,0.46871959126609625
ENSG00000163930,MONDO_0009426,0.004625311200066598
ENSG00000167986,MONDO_0018906,0.5631019025653153
ENSG00000107968,EFO_0003839,0.002220149376031967
ENSG00000152086,MONDO_0018088,0.5814586025207766
ENSG00000162692,EFO_0002687,0.00873874204144501
ENSG00000110944,EFO_1001451,0.058276454288199095
ENSG00000053918,EFO_0000389,0.003700248960053279
ENSG00000112115,EFO_1001047,0.0056815267087751385
