subject,predicate,object,subject_category,object_category,knowledge_source,source_relationship
DRUG_NAME:T-900607,biolink:negatively_regulates,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,negative modulator
DRUG_NAME:Regorafenib,biolink:interacts_with,NCBIGene:55294,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PATUPILONE,biolink:regulates,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,modulator
DRUG_NAME:SHO-SAIKO-TO,biolink:interacts_with,NCBIGene:3082,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BUTYRATE,biolink:interacts_with,NCBIGene:355,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NERISPIRDINE,biolink:negatively_regulates,NCBIGene:3784,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:GW7647,biolink:interacts_with,NCBIGene:2908,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:METHIMAZOLE,biolink:interacts_with,NCBIGene:1809,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
"DRUG_NAME:5,6,7,8,4'-PENTAHYDROXYFLAVONE",biolink:interacts_with,NCBIGene:26013,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:Ponatinib,biolink:interacts_with,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ZIMLOVISERTIB,biolink:negatively_regulates,NCBIGene:51135,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:AV-101,biolink:negatively_regulates,NCBIGene:2905,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:GNF-PF-2272,biolink:interacts_with,NCBIGene:26013,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:sorafenib,biolink:interacts_with,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AMIFAMPRIDINE PHOSPHATE,biolink:negatively_regulates,NCBIGene:3752,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:GEMCITABINE,biolink:interacts_with,NCBIGene:57650,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:Melphalan,biolink:interacts_with,NCBIGene:51755,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PROTEASOME INHIBITOR,biolink:interacts_with,NCBIGene:355,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VINCRISTINE SULFATE,biolink:negatively_regulates,NCBIGene:7280,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CATECHOL,biolink:interacts_with,NCBIGene:26013,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ACETYLDIGITOXIN,biolink:negatively_regulates,NCBIGene:480,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:Entinostat,biolink:interacts_with,NCBIGene:55294,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TRC-093,biolink:negatively_regulates,NCBIGene:1286,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:RAPAMYCIN,biolink:interacts_with,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ritonavir,biolink:interacts_with,NCBIGene:54577,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
