source_id,mondo_id,prefix,normalized,status
EFO:0006544,MONDO:0005611,EFO,True,mapped
MONDO:0004286,MONDO:0004286,MONDO,False,already_mondo
MONDO:0016780,MONDO:0016780,MONDO,False,already_mondo
MONDO:0021148,MONDO:0021148,MONDO,False,already_mondo
MONDO:0002334,MONDO:0002334,MONDO,False,already_mondo
EFO:0007874,,EFO,False,unmapped
MONDO:0013934,MONDO:0013934,MONDO,False,already_mondo
MONDO:0002974,MONDO:0002974,MONDO,False,already_mondo
MONDO:0009216,MONDO:0009216,MONDO,False,already_mondo
EFO:0007218,MONDO:0017361,EFO,True,mapped
EFO:0002939,MONDO:0007959,EFO,True,mapped
EFO:0000549,MONDO:0005048,EFO,True,mapped
MONDO:0007254,MONDO:0007254,MONDO,False,already_mondo
HP:0009726,,HP,False,skipped_prefix
MONDO:0023161,MONDO:0023161,MONDO,False,already_mondo
MONDO:0004643,MONDO:0004643,MONDO,False,already_mondo
MONDO:0018630,MONDO:0018630,MONDO,False,already_mondo
EFO:0005423,MONDO:0005488,EFO,True,mapped
MONDO:0008733,MONDO:0008733,MONDO,False,already_mondo
Orphanet:75376,MONDO:0007471,Orphanet,True,mapped
EFO:1000158,MONDO:0006130,EFO,True,mapped
MONDO:0002691,MONDO:0002691,MONDO,False,already_mondo
MONDO:0002207,MONDO:0002207,MONDO,False,already_mondo
MONDO:0005041,MONDO:0005041,MONDO,False,already_mondo
EFO:1001999,MONDO:0019434,EFO,True,mapped
MONDO:0007496,MONDO:0007496,MONDO,False,already_mondo
MONDO:0007809,MONDO:0007809,MONDO,False,already_mondo
EFO:1002049,MONDO:0019722,EFO,True,mapped
HP:0002783,,HP,False,skipped_prefix
EFO:0010702,,EFO,False,unmapped
Orphanet:199348,MONDO:0011841,Orphanet,True,mapped
MONDO:0021251,MONDO:0021251,MONDO,False,already_mondo
EFO:1001109,MONDO:0006909,EFO,True,mapped
EFO:0001074,MONDO:0005139,EFO,True,mapped
MONDO:0018875,MONDO:0018875,MONDO,False,already_mondo
EFO:0007292,MONDO:0016218,EFO,True,mapped
EFO:0004287,MONDO:0000190,EFO,True,mapped
MONDO:0003783,MONDO:0003783,MONDO,False,already_mondo
EFO:0000756,MONDO:0005105,EFO,True,mapped
MONDO:0014048,MONDO:0014048,MONDO,False,already_mondo
MONDO:0016642,MONDO:0016642,MONDO,False,already_mondo
MONDO:0005575,MONDO:0005575,MONDO,False,already_mondo
MONDO:0015674,MONDO:0015674,MONDO,False,already_mondo
MONDO:0015459,MONDO:0015459,MONDO,False,already_mondo
EFO:0001075,MONDO:0005140,EFO,True,mapped
Orphanet:88643,MONDO:0019506,Orphanet,True,mapped
OBA:VT0001253,,OBA,False,skipped_prefix
EFO:0004517,,EFO,False,unmapped
MONDO:0009629,MONDO:0009629,MONDO,False,already_mondo
EFO:0005225,MONDO:0005459,EFO,True,mapped
EFO:0002503,,EFO,False,unmapped
EFO:1001475,MONDO:0015254,EFO,True,mapped
EFO:0022254,,EFO,False,unmapped
EFO:0007986,,EFO,False,unmapped
HP:0003074,,HP,False,skipped_prefix
EFO:0005407,MONDO:0005485,EFO,True,mapped
MONDO:0008921,MONDO:0008921,MONDO,False,already_mondo
Orphanet:2278,MONDO:0009446,Orphanet,True,mapped
EFO:0005622,MONDO:0005532,EFO,True,mapped
MONDO:0018899,MONDO:0018899,MONDO,False,already_mondo
MONDO:0012725,MONDO:0012725,MONDO,False,already_mondo
EFO:0001668,MONDO:0005161,EFO,True,mapped
EFO:0000222,MONDO:0018874,EFO,True,mapped
EFO:0005241,,EFO,False,unmapped
EFO:0000349,MONDO:0005005,EFO,True,mapped
MONDO:0007152,MONDO:0007152,MONDO,False,already_mondo
HP:0003073,,HP,False,skipped_prefix
EFO:0000769,MONDO:0005111,EFO,True,mapped
HP:0011675,,HP,False,skipped_prefix
EFO:0003855,MONDO:0005288,EFO,True,mapped
EFO:0001064,MONDO:0008608,EFO,True,mapped
MONDO:0002257,MONDO:0002257,MONDO,False,already_mondo
EFO:0009860,,EFO,False,unmapped
EFO:0004468,,EFO,False,unmapped
EFO:1001469,MONDO:0018876,EFO,True,mapped
EFO:1001760,MONDO:0018815,EFO,True,mapped
EFO:0022008,,EFO,False,unmapped
MONDO:0016700,MONDO:0016700,MONDO,False,already_mondo
EFO:0000508,MONDO:0003847,EFO,True,mapped
EFO:0003966,MONDO:0005328,EFO,True,mapped
OBA:VT0010046,,OBA,False,skipped_prefix
MONDO:0010788,MONDO:0010788,MONDO,False,already_mondo
HP:0006536,,HP,False,skipped_prefix
HP:0001397,,HP,False,skipped_prefix
MONDO:0033262,MONDO:0033262,MONDO,False,already_mondo
MONDO:0020761,MONDO:0020761,MONDO,False,already_mondo
MONDO:0045063,MONDO:0045063,MONDO,False,already_mondo
EFO:0801819,,EFO,False,unmapped
EFO:0004906,MONDO:0005438,EFO,True,mapped
MONDO:0008411,MONDO:0008411,MONDO,False,already_mondo
EFO:1000155,MONDO:0000525,EFO,True,mapped
EFO:0000544,,EFO,False,unmapped
OBA:2040646,,OBA,False,skipped_prefix
HP:0001952,,HP,False,skipped_prefix
MONDO:0042491,MONDO:0042491,MONDO,False,already_mondo
MONDO:0012675,MONDO:0012675,MONDO,False,already_mondo
EFO:1000897,MONDO:0012819,EFO,True,mapped
EFO:0600064,,EFO,False,unmapped
EFO:0004541,,EFO,False,unmapped
