id,prefix,previous_name,label,label_source,label_ontology,obsolete_term,matched,current_category,suggested_category
MONDO:0007700,MONDO,MONDO:0007700,hawkinsinuria,mondo_release,mondo,,True,biolink:Disease,
MONDO:0015484,MONDO,EFO:0007231,cysticercosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006192,MONDO,EFO:1000233,endometrial endometrioid adenocarcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006639,MONDO,EFO:1000796,adrenal cortex carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011996,MONDO,EFO:0000339,chronic myeloid leukemia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005148,MONDO,MONDO:0005148,type 2 diabetes mellitus,mondo_release,mondo,,True,biolink:Disease,
MONDO:0017991,MONDO,EFO:1001857,Takayasu arteritis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0013209,MONDO,EFO:0003095,metabolic dysfunction-associated steatotic liver disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011456,MONDO,MONDO:0011456,nephronophthisis 3,mondo_release,mondo,,True,biolink:Disease,
MONDO:0003916,MONDO,MONDO:0003916,overnutrition,mondo_release,mondo,,True,biolink:Disease,
MONDO:0015701,MONDO,MONDO:0015701,T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004580,MONDO,MONDO:0004580,retinal degeneration,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004993,MONDO,EFO:0000313,carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016107,MONDO,MONDO:0016107,myotonic dystrophy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005642,MONDO,EFO:0007141,atopic conjunctivitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0100574,MONDO,MONDO:0100574,generalized epilepsy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005023,MONDO,EFO:0000432,ductal breast carcinoma in situ,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005595,MONDO,EFO:0006352,laryngeal squamous cell carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006047,MONDO,EFO:1000044,pancreatic adenocarcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0003825,MONDO,MONDO:0003825,kidney oncocytoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006849,MONDO,EFO:1001034,mastitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005366,MONDO,EFO:0004239,chronic hepatitis B virus infection,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006515,MONDO,EFO:1000652,acute pancreatitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007294,MONDO,Orphanet:597,central core myopathy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0012209,MONDO,MONDO:0012209,branchiogenic deafness syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0012450,MONDO,MONDO:0012450,spinocerebellar ataxia type 28,mondo_release,mondo,,True,biolink:Disease,
MONDO:0013284,MONDO,MONDO:0013284,"immunodeficiency, common variable, 4",mondo_release,mondo,,True,biolink:Disease,
MONDO:0012220,MONDO,Orphanet:79478,Griscelli syndrome type 3,mondo_release,mondo,,True,biolink:Disease,
MONDO:0013427,MONDO,MONDO:0013427,immunodeficiency 31B,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005084,MONDO,EFO:0000677,mental disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009831,MONDO,EFO:1000359,malignant pancreatic neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0024331,MONDO,EFO:1001951,colorectal carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009619,MONDO,MONDO:0009619,microcephaly-micromelia syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002806,MONDO,EFO:1001942,bronchogenic carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0024280,MONDO,MONDO:0024280,polyarticular arthritis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011661,MONDO,MONDO:0011661,inflammatory bowel disease 5,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009614,MONDO,Orphanet:79311,"methylmalonic aciduria, cblB type",mondo_release,mondo,,True,biolink:Disease,
MONDO:0005098,MONDO,EFO:0000712,stroke disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0001999,MONDO,MONDO:0001999,idiopathic pulmonary arterial hypertension,mondo_release,mondo,,True,biolink:Disease,
MONDO:0000494,MONDO,EFO:1001517,renal fibrosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011438,MONDO,EFO:0003894,acne,mondo_release,mondo,,True,biolink:Disease,
MONDO:0001166,MONDO,EFO:1002050,nephritis,mondo_release,mondo,,True,biolink:Disease,
