curie	label	ontology	obsolete	iri	status
EFO:0004696	sex hormone-binding globulin measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004696	ok
EFO:0004725	metabolite measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004725	ok
EFO:0004784	self reported educational attainment	efo	false	http://www.ebi.ac.uk/efo/EFO_0004784	ok
EFO:0004833	neutrophil count	efo	false	http://www.ebi.ac.uk/efo/EFO_0004833	ok
EFO:0004838	calcium measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004838	ok
EFO:0004842	eosinophil count	efo	false	http://www.ebi.ac.uk/efo/EFO_0004842	ok
EFO:0004875	mathematical ability	efo	false	http://www.ebi.ac.uk/efo/EFO_0004875	ok
EFO:0004980	appendicular lean mass	efo	false	http://www.ebi.ac.uk/efo/EFO_0004980	ok
EFO:0004995	lean body mass	efo	false	http://www.ebi.ac.uk/efo/EFO_0004995	ok
EFO:0005106	body composition measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0005106	ok
EFO:0005140	obsolete_autoimmune disease	efo	true	http://www.ebi.ac.uk/efo/EFO_0005140	ok
EFO:0005241	employment status	efo	false	http://www.ebi.ac.uk/efo/EFO_0005241	ok
EFO:0005689	non-high density lipoprotein cholesterol measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0005689	ok
EFO:0005802	cartilage disease	efo	false	http://www.ebi.ac.uk/efo/EFO_0005802	ok
EFO:0006335	systolic blood pressure	efo	false	http://www.ebi.ac.uk/efo/EFO_0006335	ok
EFO:0006336	diastolic blood pressure	efo	false	http://www.ebi.ac.uk/efo/EFO_0006336	ok
EFO:0006340	mean arterial pressure	efo	false	http://www.ebi.ac.uk/efo/EFO_0006340	ok
EFO:0006527	smoking status measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0006527	ok
EFO:0006566	dysplastic oral keratinocyte	efo	false	http://www.ebi.ac.uk/efo/EFO_0006566	ok
EFO:0006807	linoleic acid measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0006807	ok
EFO:0006834	septic shock	efo	false	http://www.ebi.ac.uk/efo/EFO_0006834	ok
EFO:0006835	pyoderma gangrenosum	efo	false	http://www.ebi.ac.uk/efo/EFO_0006835	ok
EFO:0006890	fibrosis	efo	false	http://www.ebi.ac.uk/efo/EFO_0006890	ok
EFO:0006922	delivery measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0006922	ok
EFO:0007456	pseudomyxoma peritonei	efo	false	http://www.ebi.ac.uk/efo/EFO_0007456	ok
EFO:0007540	animal viral hepatitis	efo	false	http://www.ebi.ac.uk/efo/EFO_0007540	ok
EFO:0007789	BMI-adjusted waist circumference	efo	false	http://www.ebi.ac.uk/efo/EFO_0007789	ok
EFO:0007800	body fat percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0007800	ok
EFO:0007834	liver dysplastic nodule	efo	false	http://www.ebi.ac.uk/efo/EFO_0007834	ok
EFO:0007874	gut microbiome measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0007874	ok
EFO:0007944	allergen exposure measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0007944	ok
EFO:0007985	platelet crit	efo	false	http://www.ebi.ac.uk/efo/EFO_0007985	ok
EFO:0007986	reticulocyte count	efo	false	http://www.ebi.ac.uk/efo/EFO_0007986	ok
EFO:0007990	neutrophil percentage of leukocytes	efo	false	http://www.ebi.ac.uk/efo/EFO_0007990	ok
EFO:0007991	eosinophil percentage of leukocytes	efo	false	http://www.ebi.ac.uk/efo/EFO_0007991	ok
EFO:0008496	chronic hepatitis	efo	false	http://www.ebi.ac.uk/efo/EFO_0008496	ok
EFO:0008501	dysplasia	efo	false	http://www.ebi.ac.uk/efo/EFO_0008501	ok
EFO:0008511	metopic craniosynostosis	efo	false	http://www.ebi.ac.uk/efo/EFO_0008511	ok
EFO:0008527	steatosis	efo	false	http://www.ebi.ac.uk/efo/EFO_0008527	ok
EFO:0008569	Thiamine deficiency	efo	false	http://www.ebi.ac.uk/efo/EFO_0008569	ok
EFO:0008572	malnutrition	efo	false	http://www.ebi.ac.uk/efo/EFO_0008572	ok
EFO:0008591	free cholesterol measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0008591	ok
EFO:0009071	obsolete_malignant hyperthermia, susceptibility to, 1	efo	true	http://www.ebi.ac.uk/efo/EFO_0009071	ok
EFO:0009085	arterial occlusive disease	efo	false	http://www.ebi.ac.uk/efo/EFO_0009085	ok
EFO:0009130	clostridium difficile infection	efo	false	http://www.ebi.ac.uk/efo/EFO_0009130	ok
EFO:0009188	Red cell distribution width	efo	false	http://www.ebi.ac.uk/efo/EFO_0009188	ok
EFO:0009373	edema	efo	false	http://www.ebi.ac.uk/efo/EFO_0009373	ok
EFO:0009429	Mycobacterium infection	efo	false	http://www.ebi.ac.uk/efo/EFO_0009429	ok
EFO:0009458	alcohol use disorder measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0009458	ok
EFO:0009518	complication	efo	false	http://www.ebi.ac.uk/efo/EFO_0009518	ok
EFO:0009589	worry measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0009589	ok
EFO:0009594	irritability measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0009594	ok
EFO:0009614	clavicle fracture	efo	false	http://www.ebi.ac.uk/efo/EFO_0009614	ok
EFO:0009622	fracture of pelvis	efo	false	http://www.ebi.ac.uk/efo/EFO_0009622	ok
EFO:0009706	latent autoimmune diabetes in adults	efo	false	http://www.ebi.ac.uk/efo/EFO_0009706	ok
